date,salt,ols,lr
2021-10-01,100.32,6.485000000000014,100.40868384045848
2021-11-01,100.59,5.610900000000015,100.40476037002625
2021-12-01,100.56,4.7368000000000166,100.40083689959404
2022-01-01,101.29,3.862700000000018,100.39691342916183
2022-02-01,101.18,2.9886000000000195,100.3929899587296
2022-03-01,114.19,2.114500000000021,100.38906648829739
2022-04-01,106.1,1.2404000000000224,100.38514301786518
2022-05-01,103.31,0.36630000000002383,100.38121954743295
2022-06-01,100.86,-0.5077999999999747,100.37729607700074
2022-07-01,99.6,-1.3818999999999733,100.37337260656851
2022-08-01,99.17,-2.2560000000000002,100.3694491361363
2022-09-01,99.85,-3.1300999999999988,100.36552566570408
2022-10-01,99.62,-4.004199999999997,100.36160219527186
2022-11-01,99.66,-4.878299999999996,100.35767872483964
2022-12-01,99.43,-5.752399999999994,100.35375525440743
